patient,pred,target,dice,hd,hd95
580438118c,PTV_tot,PTV_tot,0.693864,142.4507,7.03125
2fea0c3c2d,PTV_tot,PTV_tot,0.703614,57.84956,8.203125
2fe80163c8,PTV_tot,PTV_tot,0.705469,959.9716,10.0125
cdce9dfaf9,PTV_tot,PTV_tot,0.706965,191.9595,11.61306
d24d58a7ad,PTV_tot,PTV_tot,0.711465,175.6854,8.531379
dd0894e849,PTV_tot,PTV_tot,0.715805,54.688,7.03125
47ad593639,PTV_tot,PTV_tot,0.727912,938.8357,9.375
ac2b964991,PTV_tot,PTV_tot,0.755047,578.5833,9.152637
5d25ad9941,PTV_tot,PTV_tot,0.758637,844.3583,8.203125
50f218df2f,PTV_tot,PTV_tot,0.768364,924.6866,6.546204
780977e95c,PTV_tot,PTV_tot,0.770943,922.9057,5.975413
8582ad1330,PTV_tot,PTV_tot,0.772572,45.30415,6.31074
22ae7628ac,PTV_tot,PTV_tot,0.776188,601.6378,9
ea875763fd,PTV_tot,PTV_tot,0.779168,1009.308,5.859375
b08c586b8b,PTV_tot,PTV_tot,0.783282,892.0781,8.286407
e97f9dc8ba,PTV_tot,PTV_tot,0.783562,124.4662,7.03125
f427229e01,PTV_tot,PTV_tot,0.786732,876.7882,6.112252
078155d54b,PTV_tot,PTV_tot,0.789177,73.01277,7.03125
0d6dbfca35,PTV_tot,PTV_tot,0.790708,77.81285,6.629126
962ff29fdf,PTV_tot,PTV_tot,0.791998,210.2209,9.447958
ab8fed6951,PTV_tot,PTV_tot,0.795989,152.2543,6.31074
b97285248a,PTV_tot,PTV_tot,0.800614,922.366,5.859375
aaf51339e6,PTV_tot,PTV_tot,0.800817,928.1819,5.240784
c96a16d215,PTV_tot,PTV_tot,0.802033,42.34995,5
dc8d7ed1e0,PTV_tot,PTV_tot,0.805052,793.6353,5.859375
d4a0c1d435,PTV_tot,PTV_tot,0.805417,1037.616,8.974843
97b1d50066,PTV_tot,PTV_tot,0.806033,986.7663,5.637058
164d9e96be,PTV_tot,PTV_tot,0.806329,970.7882,6.835938
2a6c1053a6,PTV_tot,PTV_tot,0.806413,56.2188,5.975413
1b20a3cb66,PTV_tot,PTV_tot,0.808988,67.70558,5.240784
96a15f3c3a,PTV_tot,PTV_tot,0.810711,45.76318,5.859375
d0af54cbfc,PTV_tot,PTV_tot,0.811387,635.2881,6.954108
e5674d8e1d,PTV_tot,PTV_tot,0.81229,848.3011,4.971845
94b1d09727,PTV_tot,PTV_tot,0.812378,961.7842,4.971845
7a58aa166d,PTV_tot,PTV_tot,0.813399,133.7589,5.240784
5985b11ac1,PTV_tot,PTV_tot,0.813892,48.91112,5.859375
6889d9ab8c,PTV_tot,PTV_tot,0.814369,184.8532,5.859375
a17ea87ea2,PTV_tot,PTV_tot,0.817192,77.16286,6.467056
d7f42125bf,PTV_tot,PTV_tot,0.817763,54.41138,5.859375
137a36b221,PTV_tot,PTV_tot,0.818012,996.512,5.859375
2dd0e6a117,PTV_tot,PTV_tot,0.820029,988.7844,4.6875
f8f77b8bc1,PTV_tot,PTV_tot,0.820118,70.60165,5.620953
665e5750f3,PTV_tot,PTV_tot,0.821214,973.489,5.859375
4dba78d716,PTV_tot,PTV_tot,0.821487,69.54218,6.31074
73a9eea8b1,PTV_tot,PTV_tot,0.821719,871.312,4.831764
929c966ba3,PTV_tot,PTV_tot,0.821794,73.13243,4.6875
4940aa981e,PTV_tot,PTV_tot,0.822318,206.4146,4.971845
907e759e12,PTV_tot,PTV_tot,0.822646,116.7439,5.859375
c8c6c638cc,PTV_tot,PTV_tot,0.822825,140.3175,4.6875
2ad3daaefa,PTV_tot,PTV_tot,0.823204,856.8534,5.240784
1372f71985,PTV_tot,PTV_tot,0.824117,973.9791,4.6875
f9caf7540a,PTV_tot,PTV_tot,0.8242,725.95,5.645038
53de1f72e7,PTV_tot,PTV_tot,0.827731,50.80716,6.114248
e74e14a6f0,PTV_tot,PTV_tot,0.828579,967.9099,6.463342
138a7266b2,PTV_tot,PTV_tot,0.828836,71.09375,5.800485
bf27e730c4,PTV_tot,PTV_tot,0.829027,993.476,4.6875
39d2baf454,PTV_tot,PTV_tot,0.829784,147.4735,5.46875
8394264403,PTV_tot,PTV_tot,0.829934,150.0685,6.467056
0841a85d12,PTV_tot,PTV_tot,0.830116,826.4007,5.240784
8a6f8b2ef4,PTV_tot,PTV_tot,0.830759,76.09669,5.572635
de440dfcbb,PTV_tot,PTV_tot,0.832165,305.2249,4.6875
2e709f30fd,PTV_tot,PTV_tot,0.832377,945.9556,4.6875
f49c09b70c,PTV_tot,PTV_tot,0.832745,914.2169,4.831764
8ac4645595,PTV_tot,PTV_tot,0.834281,911.2947,4.6875
97925f3002,PTV_tot,PTV_tot,0.835019,43.963,5.46875
5185090f5b,PTV_tot,PTV_tot,0.835435,92.16992,4.831764
160ae6299c,PTV_tot,PTV_tot,0.836446,952.5759,5.46875
7f38135ef7,PTV_tot,PTV_tot,0.83813,910.8806,4.6875
d17edef5b1,PTV_tot,PTV_tot,0.839503,81.86668,6.85366
3de63efe21,PTV_tot,PTV_tot,0.840343,364.1975,7.03125
ca61263499,PTV_tot,PTV_tot,0.843581,44.82742,4.225255
d40c4b6c81,PTV_tot,PTV_tot,0.844992,76.29562,4.6875
125ec72e96,PTV_tot,PTV_tot,0.846037,50.66266,4.6875
66f5cea424,PTV_tot,PTV_tot,0.846813,505.2654,3.705794
6a56b9a03c,PTV_tot,PTV_tot,0.846819,1027.508,4.225255
fde4a3e753,PTV_tot,PTV_tot,0.847314,33.37502,4.6875
8790474f34,PTV_tot,PTV_tot,0.849118,42.02472,3.705794
e844e8e67d,PTV_tot,PTV_tot,0.84964,36.49784,4.6875
5a215ae7ce,PTV_tot,PTV_tot,0.851199,63.99312,5.226563
3ccabf2f31,PTV_tot,PTV_tot,0.851539,255.0195,4.6875
caa9053a67,PTV_tot,PTV_tot,0.85196,46.35295,4.225255
740005b79f,PTV_tot,PTV_tot,0.852331,982.551,5.328125
437efac703,PTV_tot,PTV_tot,0.855167,59.90033,4.6875
f7fb3948e9,PTV_tot,PTV_tot,0.861465,71.59064,5.975413
f0d0310be3,PTV_tot,PTV_tot,0.862706,130.3444,4.323427
3056da4688,PTV_tot,PTV_tot,0.862821,80.99513,3.515625
90e2489368,PTV_tot,PTV_tot,0.863067,68.49477,4.6875
5e52649434,PTV_tot,PTV_tot,0.863486,91.67628,5.240784
0c8aeb38b9,PTV_tot,PTV_tot,0.871441,433.7451,4.831764
